,File Name,Flight Number,Departure Airport,Arrival Airport,Aircraft Registration,Scheduled Time of Departure,Flight Date
107,202502131838052337696.xml,HA57,SAN,OAK,N230HA,18:50:00Z,2025-02-13
108,202502131753032337420.xml,HA230,OGG,KOA,N489HA,21:30:00Z,2025-02-13
109,202502130141202333622.xml,HA386,HNL,OGG,N488HA,02:50:00Z,2025-02-13
110,202502130058572333360.xml,HA18,HNL,LAS,N393HA,01:40:00Z,2025-02-13
111,202502132320422339620.xml,HA307,KOA,HNL,N485HA,01:20:00Z,2025-02-14
112,202502131225562335872.xml,HA35,PHX,HNL,N781HA,14:20:00Z,2025-02-13
113,202502131521402336483.xml,HA41,SFO,OGG,N204HA,17:15:00Z,2025-02-13
114,202502132316492339574.xml,HA34,OGG,LAX,N384HA,23:10:00Z,2025-02-13
115,202502130656172335049.xml,HA8,HNL,LAS,N399HA,09:15:00Z,2025-02-13
116,202502132225422339170.xml,HA249,OGG,LIH,N476HA,23:35:00Z,2025-02-13
117,202502130141202333623.xml,HA385,OGG,HNL,N488HA,04:02:00Z,2025-02-13
118,202502131753032337421.xml,HA257,KOA,HNL,N489HA,22:45:00Z,2025-02-13
119,202502132305212339477.xml,HA323,HNL,LIH,N483HA,00:00:00Z,2025-02-14
120,202502130104052333392.xml,HA50,HNL,JFK,N378HA,02:45:00Z,2025-02-13
121,202502132135432338736.xml,HA257,KOA,HNL,N489HA,22:45:00Z,2025-02-13
122,202502132359502339915.xml,HA325,OGG,HNL,N480HA,01:40:00Z,2025-02-14
123,202502130241472333888.xml,HA1627,CVG,JFK,N4649K,05:40:00Z,2025-02-13
124,202502131436572336244.xml,HA127,KOA,HNL,N495HA,17:00:00Z,2025-02-13
125,202502132200022338981.xml,HA72,OGG,LGB,N214HA,23:30:00Z,2025-02-13
126,202502131645322336936.xml,HA158,HNL,KOA,N491HA,17:55:00Z,2025-02-13
127,202502131455502336341.xml,HA121,ITO,HNL,N489HA,17:30:00Z,2025-02-13
128,202502132045582338368.xml,HA267,KOA,HNL,N479HA,23:15:00Z,2025-02-13
129,202502130500452334564.xml,HA568,HNL,KOA,N477HA,06:10:00Z,2025-02-13
130,202502132216072339103.xml,HA549,OGG,LIH,N483HA,00:45:00Z,2025-02-14
131,202502130420572334349.xml,HA517,KOA,HNL,N478HA,05:19:00Z,2025-02-13
132,202502130140492333614.xml,HA387,KOA,HNL,N491HA,04:10:00Z,2025-02-13
133,202502131745502337369.xml,HA185,OGG,HNL,N484HA,20:10:00Z,2025-02-13
134,202502131752322337415.xml,HA339,KOA,OGG,N489HA,20:21:00Z,2025-02-13
135,202502130301042333999.xml,HA525,OGG,HNL,N492HA,05:20:00Z,2025-02-13
136,202502130945552335492.xml,HA450,KIX,HNL,N386HA,11:45:00Z,2025-02-13
137,202502130040332333255.xml,HA540,LIH,OGG,N485HA,01:50:00Z,2025-02-13
138,202502132326072339659.xml,HA540,LIH,OGG,N484HA,01:50:00Z,2025-02-14
139,202502132117342338589.xml,HA539,KOA,OGG,N491HA,22:27:00Z,2025-02-13
140,202502130149532333658.xml,HA520,LIH,KOA,N476HA,02:59:00Z,2025-02-13
141,202502132341582339780.xml,HA30,OGG,SEA,N388HA,01:20:00Z,2025-02-14
142,202502132302312339434.xml,HA457,HNL,HND,N385HA,00:55:00Z,2025-02-14
143,202502132216072339102.xml,HA334,LIH,HNL,N483HA,02:05:00Z,2025-02-14
144,202502130340042334174.xml,HA533,HNL,LIH,N480HA,04:49:00Z,2025-02-13
145,202502131451452336319.xml,HA452,SYD,HNL,N389HA,10:40:00Z,2025-02-13
146,202502130035532333216.xml,HA367,KOA,HNL,N489HA,03:05:00Z,2025-02-13
147,202502131952582338057.xml,HA1631,CVG,SBD,N4649K,21:30:00Z,2025-02-13
148,202502131408582336102.xml,HA33,LAX,OGG,N388HA,15:45:00Z,2025-02-13
149,202502132000572338102.xml,HA234,LIH,HNL,N493HA,22:23:00Z,2025-02-13
150,202502130235582333867.xml,HA504,LIH,HNL,N483HA,04:55:00Z,2025-02-13
151,202502132216242339107.xml,HA267,KOA,HNL,N478HA,23:15:00Z,2025-02-13
152,202502131651292336986.xml,HA140,LIH,OGG,N479HA,19:15:00Z,2025-02-13
153,202502131436292336242.xml,HA116,HNL,OGG,N479HA,15:36:00Z,2025-02-13
154,202502130345352334210.xml,HA504,LIH,HNL,N483HA,04:55:00Z,2025-02-13
155,202502132350302339857.xml,HA314,LIH,HNL,N495HA,01:30:00Z,2025-02-14
156,202502131432342336227.xml,HA114,LIH,HNL,N492HA,16:47:00Z,2025-02-13
157,202502132155552338951.xml,HA42,OGG,SFO,N391HA,00:00:00Z,2025-02-14
158,202502132251372339358.xml,HA314,LIH,HNL,N483HA,01:30:00Z,2025-02-14
159,202502132251372339359.xml,HA323,HNL,LIH,N483HA,00:00:00Z,2025-02-14
160,202502131305522335967.xml,HA1,LAX,HNL,N380HA,15:00:00Z,2025-02-13
161,202502131620102336802.xml,HA6,HNL,LAS,N393HA,18:05:00Z,2025-02-13
162,202502130533472334723.xml,HA4,HNL,LAX,N388HA,07:40:00Z,2025-02-13
163,202502132216242339106.xml,HA306,HNL,OGG,N483HA,23:25:00Z,2025-02-13
164,202502132145472338826.xml,HA287,KOA,HNL,N494HA,00:15:00Z,2025-02-14
165,202502130039312333252.xml,HA363,HNL,LIH,N476HA,01:45:00Z,2025-02-13
166,202502132155392338944.xml,HA2,HNL,LAX,N781HA,23:55:00Z,2025-02-13
167,202502131716062337179.xml,HA141,ITO,HNL,N494HA,18:25:00Z,2025-02-13
168,202502130230472333843.xml,HA505,OGG,HNL,N477HA,04:51:00Z,2025-02-13
169,202502132328582339674.xml,HA58,OGG,SAN,N216HA,01:10:00Z,2025-02-14
170,202502131805462337512.xml,HA140,LIH,OGG,N479HA,19:15:00Z,2025-02-13
171,202502130211062333733.xml,HA355,OGG,HNL,N485HA,03:10:00Z,2025-02-13
172,202502130055372333347.xml,HA327,KOA,HNL,N477HA,02:05:00Z,2025-02-13
173,202502131911452337867.xml,HA339,KOA,OGG,N489HA,20:21:00Z,2025-02-13
174,202502132321122339629.xml,HA1631,CVG,SBD,N4649K,21:30:00Z,2025-02-13
175,202502130225362333823.xml,HA374,LIH,HNL,N480HA,03:35:00Z,2025-02-13
176,202502131443102336261.xml,HA91,SJC,HNL,N226HA,16:40:00Z,2025-02-13
177,202502130855512335415.xml,HA822,NRT,HNL,N392HA,10:55:00Z,2025-02-13
178,202502131338222336029.xml,HA31,LAS,OGG,N214HA,15:25:00Z,2025-02-13
179,202502132347412339820.xml,HA338,HNL,KOA,N483HA,00:45:00Z,2025-02-14
180,202502130039312333251.xml,HA520,LIH,KOA,N476HA,02:59:00Z,2025-02-13
181,202502131451092336312.xml,HA107,KOA,HNL,N477HA,16:00:00Z,2025-02-13
182,202502131538292336554.xml,HA39,PDX,OGG,N217HA,17:55:00Z,2025-02-13
183,202502131027372335613.xml,HA458,HND,HNL,N373HA,12:20:00Z,2025-02-13
184,202502131756102337453.xml,HA149,OGG,LIH,N480HA,21:45:00Z,2025-02-13
185,202502132145322338820.xml,HA298,HNL,KOA,N494HA,22:55:00Z,2025-02-13
186,202502131530432336513.xml,HA145,OGG,HNL,N480HA,17:50:00Z,2025-02-13
187,202502132107432338537.xml,HA304,LIH,HNL,N476HA,01:00:00Z,2025-02-14
188,202502131611532336739.xml,HA156,HNL,OGG,N477HA,17:21:00Z,2025-02-13
189,202502130010302333099.xml,HA307,KOA,HNL,N488HA,01:20:00Z,2025-02-13
190,202502131521242336480.xml,HA128,HNL,KOA,N478HA,16:30:00Z,2025-02-13
191,202502132316002339569.xml,HA325,OGG,HNL,N495HA,01:40:00Z,2025-02-14
192,202502131605412336690.xml,HA154,LIH,HNL,N490HA,18:22:00Z,2025-02-13
193,202502132350462339862.xml,HA323,HNL,LIH,N495HA,00:00:00Z,2025-02-14
194,202502131451092336313.xml,HA105,OGG,HNL,N490HA,16:00:00Z,2025-02-13
195,202502130020392333145.xml,HA356,HNL,OGG,N492HA,01:30:00Z,2025-02-13
196,202502132355432339887.xml,HA346,HNL,OGG,N478HA,01:05:00Z,2025-02-14
197,202502131751002337405.xml,HA181,ITO,HNL,N476HA,20:25:00Z,2025-02-13
198,202502130505382334592.xml,HA563,HNL,LIH,N493HA,06:15:00Z,2025-02-13
199,202502130716232335113.xml,HA17,LAS,HNL,N393HA,09:30:00Z,2025-02-13
200,202502131737512337307.xml,HA21,SEA,HNL,N396HA,15:00:00Z,2025-02-13
201,202502130409382334290.xml,HA546,HNL,OGG,N488HA,05:19:00Z,2025-02-13
202,202502130230312333842.xml,HA506,HNL,OGG,N477HA,03:40:00Z,2025-02-13
203,202502131753192337426.xml,HA198,HNL,KOA,N489HA,19:00:00Z,2025-02-13
204,202502132316312339572.xml,HA36,HNL,PHX,N780HA,01:00:00Z,2025-02-14
205,202502132045442338364.xml,HA268,HNL,KOA,N479HA,21:55:00Z,2025-02-13
206,202502130422132334359.xml,HA517,KOA,HNL,N478HA,05:19:00Z,2025-02-13
207,202502130422132334358.xml,HA508,HNL,KOA,N478HA,03:59:00Z,2025-02-13
208,202502131823502337622.xml,HA203,HNL,LIH,N490HA,19:33:00Z,2025-02-13
209,202502130821432335349.xml,HA446,AKL,HNL,N381HA,10:30:00Z,2025-02-13
210,202502130105552333405.xml,HA510,OGG,ITO,N493HA,03:26:00Z,2025-02-13
211,202502130211062333734.xml,HA393,HNL,LIH,N487HA,03:20:00Z,2025-02-13
212,202502130535502334733.xml,HA517,KOA,HNL,N478HA,05:19:00Z,2025-02-13
213,202502131348582336043.xml,HA69,LGB,HNL,N212HA,15:40:00Z,2025-02-13
214,202502130115452333459.xml,HA373,HNL,LIH,N478HA,02:25:00Z,2025-02-13
215,202502130211222333740.xml,HA392,HNL,ITO,N494HA,03:20:00Z,2025-02-13
216,202502131553142336614.xml,HA79,ONT,HNL,N208HA,17:45:00Z,2025-02-13
